DOMAIN	ACCESSION	Apophysomyces_elegans_B7760	Apophysomyces_ossiformis__NRRL_A-21654	Apophysomyces_sp___BC1015	Apophysomyces_sp___BC1021	Apophysomyces_sp___BC1034	Apophysomyces_trapeziformis_B9324	Apophysomyces_variabilis__NCCPF_102052	Saksenaea_oblongisporus_B3353	Saksenaea_vasiformis_B4078
Pyr_redox	PF00070.27	14	15	19	14	21	17	14	15	16
SRPRB	PF09439.10	19	16	17	17	15	17	11	15	17
Acyltransferase	PF01553.21	17	17	17	17	19	15	13	13	14
NAD_binding_1	PF00175.21	17	15	16	14	16	17	17	14	15
Peptidase_M16_C	PF05193.21	16	16	16	16	16	16	15	15	15
LIM	PF00412.22	20	14	10	14	21	19	6	18	17
DSPc	PF00782.20	20	17	13	16	15	19	15	11	11
Myosin_head	PF00063.21	14	16	14	14	14	14	18	17	15
AMP-binding_C	PF13193.6	13	14	21	11	22	14	13	14	13
Arrestin_C	PF02752.22	17	20	17	16	15	18	13	10	9
TAXi_N	PF14543.6	15	13	17	17	17	15	16	9	15
FeoB_N	PF02421.18	14	15	18	13	21	12	12	14	15
GDP_Man_Dehyd	PF16363.5	12	12	21	12	24	15	13	12	12
LSM	PF01423.22	17	12	14	15	15	16	10	16	17
Cation_ATPase_C	PF00689.21	15	14	14	14	14	15	13	17	16
UBA	PF00627.31	11	15	17	17	15	14	15	15	12
GTP_EFTU_D2	PF03144.25	16	12	13	11	16	15	15	17	16
ADH_zinc_N_2	PF13602.6	17	18	14	12	15	17	16	11	10
MACPF	PF01823.19	17	20	20	17	17	14	10	5	10
RCC1_2	PF13540.6	15	15	16	16	18	15	14	11	10
Histone	PF00125.24	14	14	15	12	17	14	11	16	17
Prenyltrans	PF00432.21	16	12	17	12	15	16	10	16	16
Pro_isomerase	PF00160.21	14	14	17	14	16	15	14	13	13
Proteasome	PF00227.26	14	14	15	14	15	14	15	14	14
PCI	PF01399.27	16	14	14	14	14	14	14	14	15
CBFD_NFYB_HMF	PF00808.23	14	16	14	11	15	15	13	16	14
Cpn60_TCP1	PF00118.24	15	13	15	14	16	13	13	14	14
FHA	PF00498.26	17	14	15	16	16	14	14	11	10
FAD_binding_2	PF00890.24	16	12	18	13	17	14	10	12	15
3Beta_HSD	PF01073.19	12	12	18	10	22	17	11	12	12
PB1	PF00564.24	14	14	16	14	16	12	14	13	12
PP2C	PF00481.21	14	14	14	14	14	13	15	14	13
Glyco_transf_49	PF13896.6	14	14	15	15	15	16	15	9	12
MTS	PF05175.14	15	13	18	10	15	14	10	14	15
ECH_1	PF00378.20	13	12	16	12	18	13	15	13	11
Peptidase_S9	PF00326.21	13	14	13	14	15	14	13	12	14
Acyl-CoA_dh_N	PF02771.16	13	13	15	13	14	14	13	13	13
Peptidase_M24	PF00557.24	15	13	15	13	15	15	12	12	11
RasGEF_N	PF00618.20	12	15	14	14	14	15	10	13	13
AhpC-TSA	PF00578.21	14	13	16	11	19	12	12	11	10
Lactamase_B	PF00753.27	10	12	18	13	18	9	11	12	15
TPR_1	PF00515.28	14	13	13	13	13	12	12	13	14
Acyl-CoA_dh_2	PF08028.11	13	14	13	13	13	13	14	12	12
NAD_binding_4	PF07993.12	12	13	14	9	17	14	12	11	14
Rhodanese	PF00581.20	12	15	14	13	15	11	13	11	11
Chromo	PF00385.24	9	16	19	17	14	11	9	8	11
Velvet	PF11754.8	14	13	14	14	13	13	10	13	10
PA	PF02225.22	10	14	15	15	15	11	10	12	12
Polysacc_synt_2	PF02719.15	14	11	16	10	19	16	8	11	9
MreB_Mbl	PF06723.13	12	12	15	14	17	6	11	13	13
RmlD_sub_bind	PF04321.17	12	11	15	8	18	14	10	12	13
HA2	PF04408.23	12	12	13	12	13	14	12	12	12
zf-CCCH	PF00642.24	10	18	12	14	14	15	9	13	7
HEAT_2	PF13646.6	12	10	13	15	14	14	12	9	13
GATase	PF00117.28	9	9	19	16	16	10	9	10	14
Exo_endo_phos	PF03372.23	15	13	13	11	14	10	8	13	14
tRNA-synt_1	PF00133.22	12	11	15	11	15	12	12	12	11
ECH_2	PF16113.5	12	11	13	11	16	11	13	12	12
PQ-loop	PF04193.14	20	9	9	10	9	15	7	14	17
Biotin_lipoyl	PF00364.22	10	11	16	11	16	11	11	13	11
JAB	PF01398.21	15	13	11	11	12	12	12	12	12
GST_C_3	PF14497.6	12	13	12	11	12	15	10	12	12
PBD	PF00786.28	12	13	12	13	13	9	13	13	11
DUF202	PF02656.15	12	12	13	13	13	13	12	9	12
PALP	PF00291.25	13	13	14	10	15	13	13	10	8
zf-C3HC4_2	PF13923.6	13	14	12	14	14	16	5	10	11
Glyco_hydro_18	PF00704.28	11	12	13	12	14	12	11	11	11
Hydrolase_3	PF08282.12	9	10	14	13	14	10	9	14	14
RGS	PF00615.19	15	12	13	13	12	10	10	10	11
ABC2_membrane	PF01061.24	10	10	13	14	13	10	10	12	14
CPSase_L_D2	PF02786.17	10	11	13	10	16	11	11	11	12
Say1_Mug180	PF10340.9	11	15	14	12	13	12	11	9	8
zf-C3HC4_3	PF13920.6	14	15	13	13	13	11	8	8	10
GST_C	PF00043.25	11	13	13	11	13	13	9	12	10
Actin	PF00022.19	12	12	11	11	12	13	13	10	10
GPI-anchored	PF10342.9	13	12	10	13	13	12	9	12	10
DUF3808	PF10300.9	14	15	10	10	10	12	13	11	9
Oxysterol_BP	PF01237.18	10	12	12	12	13	10	14	10	11
PPR_1	PF12854.7	12	12	11	11	11	12	12	11	11
Glycos_transf_1	PF00534.20	10	9	18	10	21	9	8	9	9
ThiF	PF00899.21	12	10	12	11	13	12	10	11	11
RNB	PF00773.19	11	10	11	10	12	14	12	11	11
AAA_11	PF13086.6	15	10	10	9	11	13	9	11	13
TPR_19	PF14559.6	11	12	11	9	13	12	8	14	11
Tubulin	PF00091.25	11	11	12	11	12	11	11	11	11
zf-MYND	PF01753.18	12	13	13	12	12	10	8	11	10
Pribosyltran	PF00156.27	8	10	16	11	18	11	9	9	9
C1_1	PF00130.22	12	11	12	13	12	11	6	11	11
Tubulin_C	PF03953.17	11	11	11	11	11	11	11	11	11
HSF_DNA-bind	PF00447.17	12	13	10	11	11	13	9	9	11
Ion_trans	PF00520.31	12	10	12	12	11	12	7	12	11
Na_Ca_ex	PF01699.24	13	10	12	12	11	12	6	12	11
HEAT_EZ	PF13513.6	12	12	11	11	11	12	11	10	9
G-patch	PF01585.23	10	12	12	12	11	11	11	10	10
Glyco_trans_1_4	PF13692.6	10	9	16	9	19	9	8	9	9
S1	PF00575.23	9	9	17	9	19	9	9	9	8
cNMP_binding	PF00027.29	10	10	12	12	12	8	9	12	12
Aminotran_5	PF00266.19	10	11	14	11	16	11	8	8	8
ATP-synt_ab_N	PF02874.23	9	9	14	12	14	10	9	10	10
OB_NTP_bind	PF07717.16	11	11	11	10	11	12	10	11	10
Kdo	PF06293.14	13	12	8	9	8	14	10	11	12
APH	PF01636.23	10	11	12	12	14	10	9	9	10
CAP_GLY	PF01302.25	10	12	13	13	13	11	8	8	9
Radical_SAM	PF04055.21	11	9	15	9	18	10	8	9	8
DUF3712	PF12505.8	11	11	11	11	11	11	11	10	10
tRNA-synt_1g	PF09334.11	10	10	12	10	14	10	10	10	10
Mg_trans_NIPA	PF05653.14	11	10	12	12	12	13	6	10	10
VTC	PF09359.10	11	12	11	11	11	9	11	9	11
Amidohydro_1	PF01979.20	12	11	10	8	11	13	11	11	9
G-alpha	PF00503.20	10	12	11	11	10	10	10	10	11
RicinB_lectin_2	PF14200.6	13	15	7	8	8	12	9	12	11
Amino_oxidase	PF01593.24	12	13	9	8	9	13	12	10	9
HisKA	PF00512.25	8	7	20	8	21	7	6	8	9
TRI12	PF06609.13	12	10	10	8	13	12	8	11	10
Rad60-SLD	PF11976.8	18	4	5	5	5	20	5	16	16
Flavodoxin_1	PF00258.25	10	10	9	9	9	14	13	9	11
Oxidored_FMN	PF00724.20	10	10	8	8	8	5	14	19	11
HMA	PF00403.26	11	9	9	8	11	14	10	11	9
BRCT	PF00533.26	14	14	8	10	11	10	7	9	9
OPT	PF03169.15	9	10	9	11	10	9	11	11	12
GST_N	PF02798.20	12	9	10	9	12	13	9	9	8
Peptidase_M16	PF00675.20	11	9	11	10	10	10	9	11	10
zf-C2H2_4	PF13894.6	15	12	7	6	7	14	6	12	12
Hexapep	PF00132.24	9	7	15	8	22	9	6	8	7
IQ	PF00612.27	10	11	10	10	10	11	6	12	11
IBN_N	PF03810.19	12	10	11	9	10	11	7	10	11
PAH	PF02671.21	13	10	11	11	12	9	8	11	5
GATase_6	PF13522.6	10	8	12	11	13	10	9	8	9
LysM	PF01476.20	12	11	8	6	10	12	9	8	13
GATase_7	PF13537.6	10	9	12	10	12	10	9	8	9
Kelch_2	PF07646.15	17	9	9	9	9	11	6	9	9
CTP_transf_like	PF01467.26	9	10	11	9	13	9	9	9	9
Dala_Dala_lig_C	PF07478.13	9	10	10	9	11	10	9	10	10
NIF	PF03031.18	8	9	11	11	11	10	9	10	9
zf-RING_11	PF17123.5	11	10	11	12	14	13	6	5	5
PrmA	PF06325.13	10	8	15	10	14	8	6	8	8
SPRY	PF00622.28	8	11	10	11	10	11	8	8	10
Adaptin_N	PF01602.20	11	12	8	8	9	10	11	9	9
LRR_4	PF12799.7	9	9	9	10	10	7	10	11	12
zf-RING_UBOX	PF13445.6	10	12	10	11	11	11	7	5	9
AAA_12	PF13087.6	11	10	9	8	10	11	9	8	10
FA_hydroxylase	PF04116.13	11	10	10	11	10	9	5	10	10
FAD_binding_1	PF00667.20	11	11	8	8	8	10	13	8	9
Y_phosphatase	PF00102.27	11	10	8	8	8	13	10	9	9
Cu-oxidase_3	PF07732.15	11	9	9	11	10	10	8	9	9
CNH	PF00780.22	8	9	9	10	10	10	7	11	11
FR47	PF08445.10	9	9	9	8	9	12	5	12	12
Methyltransf_16	PF10294.9	9	10	10	9	9	10	9	8	11
UDPGT	PF00201.18	9	11	11	10	11	8	11	8	6
NmrA	PF05368.13	13	11	7	6	7	7	10	14	10
Cu-oxidase_2	PF07731.14	9	10	9	10	9	9	9	10	9
HECT	PF00632.25	9	9	9	10	9	9	10	9	10
Tropomyosin_1	PF12718.7	9	10	8	8	8	9	10	11	10
zf-RanBP	PF00641.18	9	9	10	10	11	8	8	8	10
FCH	PF00611.23	10	8	9	10	10	9	8	9	10
Sulfate_transp	PF00916.20	8	10	9	9	9	10	10	9	9
Ribosomal_L7Ae	PF01248.26	9	9	9	9	9	10	9	9	9
PH_9	PF15410.6	7	10	11	12	10	7	9	9	7
PI3_PI4_kinase	PF00454.27	8	9	9	9	9	9	9	10	10
MIR	PF02815.19	9	9	10	10	10	10	6	9	9
ATP-synt_ab	PF00006.25	10	8	9	6	8	12	10	10	9
His_Phos_1	PF00300.22	8	8	12	10	11	8	7	9	9
Pyr_redox_3	PF13738.6	10	9	8	7	10	9	10	10	9
RasGAP	PF00616.19	9	9	9	9	9	10	8	8	10
FUSC_2	PF13515.6	9	8	11	9	11	9	7	8	9
BAR	PF03114.18	10	9	8	9	8	10	9	10	8
Lipase_GDSL	PF00657.22	11	11	10	8	8	13	4	9	7
MatE	PF01554.18	10	7	10	9	13	7	6	9	10
Dynamin_N	PF00350.23	9	9	9	9	9	8	10	9	9
FH2	PF02181.23	9	9	9	9	9	8	12	8	8
TPR_10	PF13374.6	8	8	9	9	9	8	8	11	11
CRAL_TRIO_2	PF13716.6	9	9	10	10	10	9	6	10	8
SAM_2	PF07647.17	9	9	10	10	11	7	6	9	9
fn3_5	PF06280.12	6	9	11	10	11	6	5	9	13
Ricin_B_lectin	PF00652.22	14	14	5	5	5	15	6	9	7
PhoLip_ATPase_C	PF16212.5	9	8	9	10	10	8	8	9	9
Sec7	PF01369.20	9	10	10	11	10	8	7	9	6
DUF1752	PF08550.10	8	10	11	10	9	10	8	6	8
Kelch_6	PF13964.6	13	9	10	10	10	7	7	7	6
STAS	PF01740.21	7	9	9	9	9	9	9	9	9
Clat_adaptor_s	PF01217.20	11	7	9	9	9	10	6	8	10
Gti1_Pac2	PF09729.9	11	8	8	12	10	8	10	6	6
HGTP_anticodon	PF03129.20	8	8	10	9	11	8	8	8	8
tRNA-synt_2b	PF00587.25	8	8	9	9	11	9	8	8	8
Hydrolase_like	PF13242.6	8	8	12	8	11	8	8	7	8
SWIRM	PF04433.17	8	11	8	8	10	8	8	8	9
GST_N_3	PF13417.6	9	7	10	9	11	9	8	7	7
UAA	PF08449.11	10	8	10	9	10	7	6	9	8
Snf7	PF03357.21	9	7	9	9	9	9	7	9	9
zf-C2H2_6	PF13912.6	7	11	9	8	9	13	5	6	8
Ribosomal_60s	PF00428.19	11	7	9	9	9	7	8	8	8
PDR_CDR	PF06422.12	7	7	8	8	9	7	7	10	13
AAA_19	PF13245.6	11	7	9	5	12	8	7	8	9
Redoxin	PF08534.10	9	7	12	8	13	6	6	8	6
EFG_C	PF00679.24	7	8	10	7	11	8	8	8	8
SMC_N	PF02463.19	9	8	8	8	10	12	6	7	7
Peptidase_M28	PF04389.17	9	10	9	9	9	9	6	7	7
Ribosomal_L6	PF00347.23	8	8	10	8	10	7	8	8	8
CRAL_TRIO	PF00650.20	8	9	9	10	10	8	8	8	5
ATP-grasp	PF02222.22	7	8	9	8	11	7	7	9	9
DPBB_1	PF03330.18	8	7	10	9	10	9	6	7	8
OB_Dis3	PF17849.1	8	8	8	9	8	8	9	8	8
Beta_elim_lyase	PF01212.21	7	8	10	8	11	8	7	9	6
TPR_7	PF13176.6	8	4	12	10	11	6	6	8	9
PLDc_2	PF13091.6	6	8	11	7	12	8	6	7	8
CitMHS	PF03600.16	8	9	10	9	10	8	5	7	7
Pkinase_C	PF00433.24	8	8	8	8	7	8	8	9	9
Cu-oxidase	PF00394.22	9	8	8	8	8	8	8	8	8
DUF3425	PF11905.8	5	6	12	16	13	3	6	6	6
RHD3	PF05879.12	8	7	2	2	2	10	7	15	20
CUE	PF02845.16	10	6	9	9	9	6	7	9	8
ArAE_2	PF10334.9	7	8	9	9	9	8	7	6	9
Usp	PF00582.26	7	9	8	9	7	7	8	10	7
Ribosomal_S2	PF00318.20	8	8	9	8	9	8	8	8	6
S4	PF01479.25	7	7	11	7	14	7	7	6	6
Methyltransf_8	PF05148.15	8	9	7	7	7	8	10	7	9
Iso_dh	PF00180.20	8	8	8	7	9	8	9	7	7
FMO-like	PF00743.19	12	8	7	7	6	9	9	7	6
DIL	PF01843.19	8	8	8	8	7	8	8	8	8
PPTA	PF01239.22	6	8	8	9	9	5	6	10	10
FAD_binding_4	PF01565.23	6	6	8	6	10	6	6	11	12
Band_7	PF01145.25	7	7	11	7	11	7	7	7	7
CLTH	PF10607.9	8	8	8	8	8	8	8	7	8
Gelsolin	PF00626.22	8	8	7	8	8	9	8	8	7
STPPase_N	PF16891.5	8	8	8	8	8	8	7	7	8
zf-met	PF12874.7	10	7	7	7	8	9	7	7	8
Aminotran_3	PF00202.21	7	7	10	7	12	7	8	6	6
Asn_synthase	PF00733.21	8	7	9	9	9	7	8	5	8
Glyco_transf_15	PF01793.16	5	7	9	11	12	7	8	5	6
GST_C_2	PF13410.6	7	8	9	8	10	8	7	5	8
ALMT	PF11744.8	6	8	8	8	8	9	6	8	9
DUF3759	PF12585.8	8	8	7	7	7	8	8	8	8
TPT	PF03151.16	8	6	7	7	8	9	8	9	7
Phosphoesterase	PF04185.14	7	9	7	7	7	8	7	10	7
PLDc	PF00614.22	4	8	9	9	9	9	3	9	9
PIP5K	PF01504.18	8	7	7	7	8	7	9	9	7
GST_N_2	PF13409.6	8	7	9	8	10	9	7	6	5
4HBT	PF03061.22	7	6	10	8	10	7	5	7	9
CMAS	PF02353.20	5	6	10	6	10	5	5	10	11
PhoLip_ATPase_N	PF16209.5	8	7	7	8	7	8	5	9	8
RSN1_7TM	PF02714.15	6	8	8	7	8	9	8	6	7
RA	PF00788.23	7	9	8	8	7	10	5	7	6
Glycos_transf_2	PF00535.26	6	6	11	6	15	6	6	6	5
LAG1-DNAbind	PF09271.11	7	8	8	8	8	7	8	6	7
Glutaredoxin	PF00462.24	7	6	11	7	9	6	7	6	8
Hist_deacetyl	PF00850.19	7	7	9	8	8	8	7	7	6
tRNA_anti-codon	PF01336.25	7	7	10	7	10	7	6	6	7
G-patch_2	PF12656.7	8	8	8	8	7	7	8	7	6
DLH	PF01738.18	7	9	8	8	8	7	7	6	6
Cullin	PF00888.22	8	6	8	7	8	7	7	6	9
Complex1_LYR	PF05347.15	9	5	8	8	8	8	5	8	7
SAM_1	PF00536.30	8	7	8	9	9	6	5	7	7
Phosphodiest	PF01663.22	8	8	6	6	6	8	7	8	8
CorA	PF01544.18	8	7	7	7	7	8	7	8	6
zf-C2H2_jaz	PF12171.8	9	8	7	7	6	8	7	7	6
HATPase_c_3	PF13589.6	6	6	9	7	10	6	6	8	7
Forkhead	PF00250.18	7	8	7	8	8	7	5	7	8
Cnd1	PF12717.7	8	6	8	8	8	7	6	7	7
FMN_red	PF03358.15	7	7	10	7	9	7	4	7	7
PDEase_I	PF00233.19	7	7	7	7	8	8	8	7	6
Glyco_hydro_47	PF01532.20	6	7	7	7	7	7	9	5	9
UBX	PF00789.20	6	8	8	8	8	8	6	6	6
PEMT	PF04191.13	8	8	7	7	7	6	6	8	7
